ID,姓名,拼音,八字评分,五格评分,命主星宿,命宫,笔划数,重名数,女生占比,男生占比,性别偏向,总分
7,金闲樗,xiánchū,76.5,81.5,（心）宿,震宫（东四命）,22,0,0,0,中性,158.0
8,金瀛樗,yíngchū,68,73,（心）宿,震宫（东四命）,34,0,0,0,中性,141.0
9,金江樗,jiāngchū,85.5,90.5,（心）宿,震宫（东四命）,21,0,0,0,中性,176.0
10,金樗牧,chūmù,85.5,95.5,（心）宿,震宫（东四命）,23,0,0,0,中性,181.0
1,金樗沛,chūpèi,85.5,95.5,（心）宿,震宫（东四命）,22,0,0,0,中性,181.0
2,金樗浦,chūpǔ,69.5,79.5,（心）宿,震宫（东四命）,25,0,0,0,中性,149.0
3,金樗飞,chūfēi,85.5,95.5,（心）宿,震宫（东四命）,18,0,0,0,中性,181.0
4,金淀樗,diànchū,84.5,89.5,（心）宿,震宫（东四命）,26,0,0,0,中性,174.0
5,金行樗,xíngchū,75,80,（心）宿,震宫（东四命）,21,0,0,0,中性,155.0
6,金樗缤,chūbīn,79.5,89.5,（心）宿,震宫（东四命）,28,0,0,0,中性,169.0
7,金樗澧,chūlǐ,79.5,89.5,（心）宿,震宫（东四命）,31,0,0,0,中性,169.0
8,金樗藩,chūfān,69,79,（心）宿,震宫（东四命）,33,0,0,0,中性,148.0
1,金绵樗,miánchū,76.5,81.5,（心）宿,震宫（东四命）,26,0,0,0,中性,158.0
2,金濂樗,liánchū,84.5,89.5,（心）宿,震宫（东四命）,31,0,0,0,中性,174.0
3,金樗湄,chūméi,69,79,（心）宿,震宫（东四命）,27,0,0,0,中性,148.0
4,金樗深,chūshēn,88,98,（心）宿,震宫（东四命）,26,0,0,0,中性,186.0
5,金樗浩,chūhào,69.5,79.5,（心）宿,震宫（东四命）,25,0,0,0,中性,149.0
6,金牧樗,mùchū,95,100,（心）宿,震宫（东四命）,23,0,0,0,中性,195.0
7,金樗闲,chūxián,88,98,（心）宿,震宫（东四命）,22,0,0,0,中性,186.0
8,金樗航,chūháng,90,100,（心）宿,震宫（东四命）,25,0,0,0,中性,190.0
9,金樗淞,chūsōng,90,100,（心）宿,震宫（东四命）,26,0,0,0,中性,190.0
10,金沣樗,fēngchū,89.5,94.5,（心）宿,震宫（东四命）,22,0,0,0,中性,184.0
11,金泳樗,yǒngchū,89.5,94.5,（心）宿,震宫（东四命）,23,0,0,0,中性,184.0
12,金樗沧,chūcāng,88,98,（心）宿,震宫（东四命）,22,0,0,0,中性,186.0
13,金樗藻,chūzǎo,90,100,（心）宿,震宫（东四命）,34,0,0,0,中性,190.0
14,金樗溱,chūqín,88,98,（心）宿,震宫（东四命）,28,0,0,0,中性,186.0
15,金樗淳,chūchún,88,98,（心）宿,震宫（东四命）,26,0,0,0,中性,186.0
16,金樗洳,chūrù,90,100,（心）宿,震宫（东四命）,24,0,0,0,中性,190.0
17,金樗涂,chūtú,61.5,79.5,（心）宿,震宫（东四命）,25,0,0,0,中性,141.0
18,金樗沛,chūpèi,85.5,95.5,（心）宿,震宫（东四命）,22,0,0,0,中性,181.0
19,金清樗,qīngchū,76.5,81.5,（心）宿,震宫（东四命）,26,0,0,0,中性,158.0
20,金行樗,xíngchū,75,80,（心）宿,震宫（东四命）,21,0,0,0,中性,155.0
21,金浚樗,jùnchū,62.5,67.5,（心）宿,震宫（东四命）,25,0,0,0,中性,130.0
